Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
Conservation Process Model (CPM),https://doi.org/10.5194/isprs-archives-XLII-5-W1-283-2017,"Polytechnikum Mailand, Universität La Sapienza Rom, Universität Genua, Universität Brescia, Polytechnikum Turin, National Research Council - Institute of Chemistry of OrganoMetallic Compounds (CNR-ICCOM) Außenstelle Bari",Ontologie,"Semantisches Datenmodell des BHIMM-Projektes, das auf Daten in Bezug auf Konservierung-Restaurierung von historischen Gebäuden spezialisiert ist. Das Model verfolgt dabei als Hauptziele die Darstellung von Wissen über entsprechende konservatorisch-restauratorische Prozesse sowie die Erleichterung der Integration, der Vermittlung und des Austausches heterogener Daten aus diesem Fachbereich. Die Ontologie basiert unter anderem auf CIDOC CRM und nutzt das ICOMOS-Vokabular nach. Weder die Ontologie noch das Projekt als solches ist öffentlich auffindbar und lediglich in Form von textlichen Artikeln nachverfolgbar. ","Architektur/Bauwerk, Datenmodell, Fachtext, immobiles Kulturgut, Stein, Zustandbeschreibung",IT,englisch,PDF,nicht zugänglich,FALSE,FALSE,TRUE,True?
Constglass,http://www.constglass.eu/index.html,Dombauverwaltung Köln,"Repositorium, Fachdokumentation",Digitales Bildarchiv des Constglass-Projekts mit Informationen über den Zustand historischer Glasfenster in Europa und die bei ihrer Konservierung verwendeten Materialien.,"Glas, Zustandbeschreibung, Schaden, Material, Technik/Technologie, Objektbeschreibung, Fachtext",DE,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Verbot von Druck oder Download von Inhalten. © 2010 by Dombauverwaltung Köln,TRUE,FALSE,TRUE,FALSE
Glass Dictionary,https://allaboutglass.cmog.org/glass-dictionary,The Corning Museum of Glass,Vokabular,"Glossar zur Fachbegriffen im Kontext von Glas, Glasbearbeitung, -dekorationen, etc.","Glas, Herstellung, Handwerk, Material, Technik/Technologie, Objektbeschreibung",USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Corning Museum of Glass.,TRUE,TRUE,TRUE,FALSE
CRMcr Model,http://projet-parcours.eu,"PATRIMA Excellence Research Laboratory, 
French Museum’s Research and Restoration Center (C2RMF), Research Laboratory for Historical Monuments (LRMH), ETIS Research Lab, Cergy-Pontoise (Paris area), France, Research Center on the Conservation of Collections (CRCC), DAVID Research Lab, Universit´e de Versailles Saint-Quentin-en-Yvelines, Laboratoire IPANEMA, Institut national du patrimoine (INP)",Ontologie,"semantisches Datenmodell, welches im Zuge des PARCOURS-Projektes entwickelt wurde. Es sollte eine CIDOC CRM  Erweiterung für den Bereich der Konservierungs-Restaurierungs darstellen und als gemeinsame Infrastuktur für den Austausch von konservatorischen-restauratorischen Daten aus unterschiedlichen Institutionen dienen. Die Ontologie sollte verschiedene Daten zur Konservierung und Restaurierung materiellen Kulturgutes zusammenführen können, um eine einheitliche Datenabfrage zu ermöglichen. Die Ontologie ist nicht öffentlich zugänglich und die Projektseite nicht mehr erreichbar, lediglich verschiedene textliche Artikel geben Einblick in die damaligen Arbeiten und Überlegungen zu dieser Initiative.","Datenaustausch, Datenmanagment, Datenmodell",FR,englisch,PDF,"keine Angaben, Ontologie nicht öffentlich zugänglich, Projektseite nicht mehr auffindbar ",FALSE,FALSE,TRUE,FALSE
Cultural Objects Name Authority (CONA),https://www.getty.edu/research/tools/vocabularies/cona,Getty Research Institute,Vokabular,"Ein strukturiertes, kontrolliertes Vokabular/Autoritätsregister zur eindeutigen Benennung bzw. Referenzierung von Werken der bildenden kunst, Architektur und materiellen Kultur. CONA enthält Titel, Urhebernamen, Datierungen, Material- und Objektinformationen sowie verknüpfte Metadaten aus Museen, Bibliotheken und anderen Forschungssammlungen. Es unterstützt die standardisierte Identifikation und Verknüpfung kultureller Objekte. ","Metadaten, Datenmodell, Objektbeschreibung, Datenaustausch, Tool/Software, Kulturgut, Architektur/Bauwerk",USA,englisch,"HTML, API",ODC-By v1.0,TRUE,FALSE,TRUE,FALSE
Damage Atlas for Photographic materials,https://journals.openedition.org/ceroart/1770,Kristel Van Camp,"Vokabular, Fachdokumentation","Textliche Vorstellung eines Schadens‑Atlas für analoge fotografische Materialien. Der Beitrag klassifiziert verschiedene Arten von alters‑ und umweltbedingten Schäden, beschreibt diese mit präziser Terminologie und gibt Hinweise zur Erkennung sowie zur passenden konservatorischen Intervention. ","Empfehlung/ Leitfaden, Fachtext, Fotografie, Medienobjekt, Material, Schaden, Zustandbeschreibung",USA,englisch,HTML,CC BY-NC-ND 4.0,TRUE,FALSE,TRUE,FALSE
Datendrehscheibe für Normdaten und Terminologien (DANTE),"https://dante.gbv.de/search
https://api.dante.gbv.de/ ",Verbundzentrale Göttingen (VZG),"Anwendung/Software, Vokabular","Webservice zur Erstellung, Verwaltung und Bereitstellung von Vokabularen. Gleichzeitig ermöglicht DANTE als zentraler Vocabularserver die Einbindung und Nutzung der bereitgestellten Vokabulare in das eigene Sammlungsmanagementsystem.","Datenmanagment, Datenintegration, Datenaustausch, Datenmodell, Tool/Software",DE,"deutsch, englisch","easydb5, SKOS",verschiedene je nach Datensatz,TRUE,TRUE,TRUE,TRUE
Das Oddy-Torium – Test von Restaurierungsmaterialien,https://www.abk-stuttgart.de/forschung/konservierung-und-restaurierung-von-kulturgut/das-oddy-torium-test-von-restaurierungsmaterialien/,Staatliche Akademie der Bildenden Künste Stuttgart,Fachdokumentation,"Webdarstellung eines Forschungsprojektes, in dem gängige Restaurierungsmaterialien systematisch mit dem Oddy‑Test auf atmosphärische Schadstoffemissionen und korrosive Wirkung geprüft werden. Ziel ist es, Restaurator*innen und Fachhandel eine verlässliche Grundlage für die Auswahl emissionsarmer Materialien zu geben und so die Qualität der Restaurierungs‑ und Konservierungsarbeit zu verbessern. Der Oddy‑Test gilt als praxisnahe Methode zur Erkennung korrosiver Ausdünstungen, die Kunst‑ und Kulturgut langfristig schädigen können. ","Analyse/Untersuchung, Schaden, Material, Chemie, Fachtext, Empfehlung/ Leitfaden",DE,"deutsch, englisch","PDF, HTML",CC BY 4.0,TRUE,FALSE,TRUE,FALSE
Datenbank Bauforschung/Restaurierung,https://www.bauforschung-bw.de/,"Landesamt für Denkmalpflege Baden-Württemberg, Arbeitskreises für Hausforschung Regionalgruppe Baden-Württemberg","Repositorium, Fachdokumentation","Eine vom Landesamt für Denkmalpflege Baden-Württemberg betriebene Online-Datenbank zur historischen Bauforschung und Baudokumentation, die Ergebnisse baugeschichtlicher Untersuchungen, Befunde, Bau- und Veränderungsgeschichten sowie Bild- und Planmaterial zu historischen Gebäuden in Baden-Württemberg sammelt und einer breiten Öffentlichkeit, Fachleuten und Denkmalpfleger:innen zugänglich macht.","Architektur/Bauwerk, Objektbeschreibung, Analyse/Untersuchung, Fotografie, Schaden, Fachtext, Datenaustausch",DE,deutsch,HTML,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2004-2025, Landesamt für Denkmalpflege Baden-Württemberg",TRUE,TRUE,TRUE,TRUE
Datenbank Steinkonservierungsmittel,https://ifs-mainz.de/datenbank,"Institut für Steinkonservierung e.V., Mainz","Fachdokumentation, Repositorium","Datenbank zu Steinkonservierungsmitteln, Herstellern und Verfahrensmethoden aus dem Bereich der Steinkonservierung.","Stein, Methode, Technik/Technologie, Material",DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2024 Institut für Steinkonservierung e.V.,TRUE,FALSE,TRUE,FALSE
Descriptive Terminology for Works of Art on Paper,https://legacyweb.philamuseum.org/doc_downloads/conservation/DescriptiveTerminologyforArtonPaper.pdf,Philadelphia Museum of Art,Vokabular,"Leitfaden zur einheitlichen und präzisen Beschreibung von Materialien und Techniken bei Grafik, Zeichnungen und Collagen auf Papier. Die Terminologie basiert auf direkten Untersuchungen der Kunstwerke, sodass Begriffe und Empfehlungen zu deren Verwendung sich aus der beobachteten materiellen Realität entwickelten und zu einem tieferen Verständnis von Objekt und Entstehungsprozess beitragen.  ","Objektbeschreibung, Analyse/Untersuchung, Fotografie, Material, Technik/Technologie, Fachtext, Empfehlung/ Leitfaden, Papier, Grafikobjekt",USA,englisch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025 Philadelphia Museum of Art,TRUE,FALSE,TRUE,FALSE
Dictionary of Book and Paper Conservation,http://mek.oszk.hu/10600/10635/10635.pdf,"Nationalbibliothek von Ungarn, Budapest",Vokabular,"Wörterbuch zu Materialien, Techniken, Hilfsmitteln und Werkzeugen aus dem Bereich der Papierkonservierung, Buchbindung und dem Druck.","Technik/Technologie, Material, Papier, Grafikobjekt, Zustandbeschreibung, Objektbeschreibung",HUN,"deutsch, englisch, italienisch, französisch, ungarisch",PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Gabriella Albrechtné Kunszerí, Udikó Beöthyné Kozocsa, Mária Czigler, Éva Csenki, Erzsébet Jurcsik, Beatrix Kastaly, Betly Kennedy, Imola Simon, Györgyi Szlabey ",TRUE,FALSE,TRUE,FALSE
Dictionary of Units,http://www.cleavebooks.co.uk/dictunit/dictunit.htm,Cleave Books,Vokabular,"Wörterbuch zu Maßeinheiten, die heute weltweit verwendet werden, und zu deren Umrechnungsfaktoren in das internationale Einheitensystem (SI-System).","Analyse/Untersuchung, Datenaustausch, Datenmanagment, Empfehlung/ Leitfaden, Technik/Technologie",GBR,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Frank Tapson2004,TRUE,FALSE,TRUE,TRUE
digiCULT.xTree,https://xtree-public.digicult-verbund.de/vocnet/?action=start&lang=de ; https://www.digicult-verbund.de/software/digicultxtree ,digiCult,"Anwendung/Software, Vokabular","Webbasierte Anwendung des digiCULT-Verbundes zur Erstellung und Verwaltung kontrollierter Vokabulare im Museums- und Kulturerbebereich. Sie unterstützt hierarchische Strukturen, terminologische Pflege sowie die Einbindung und Nutzung von Fachbegriffen innerhalb von Dokumentations- und Sammlungssystemen. Die Nutzung von digiCULT.xTree ist nicht frei zugänglich, sondern erfolgt in der Regel im Rahmen einer Mitgliedschaft bzw. Kooperation mit dem digiCULT-Verbund.","Tool/Software, Datenmanagment, Datenaustausch, Datenintegration, Kulturgut",DE,"deutsch, englisch","SKOS, RDF, JSON, SPARQL, TriG",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
"Dokumentationsrichtlinien der Bodendenkmalpflege im Archäologischen Museum Hamburg, Stand Dezember 2024",https://amh.de/wp-content/uploads/Dokumentationsrichtlinien_AMH_241209.pdf,"Archäologisches Museum Hamburg, Bodendenkmalpflege",Fachdokumentation,"Die Dokumentationsrichtlinien des Archäologischen Museums Hamburg legen fachliche und organisatorische Vorgaben für die Erstellung, Strukturierung, digitale Erfassung, Abgabe und Archivierung von archäologischen Grabungsdokumentationen fest. Sie behandeln u. a. Datenerfassung, Datenstrukturierung, Grabungsbericht, Vermessung, 3D-Oberflächendaten, Pläne, Tagebuchführung, Befund- und Funddokumentation sowie Vorgaben zu Dateiformaten, Benennungsschemata und Fristen.","Standard, archäologischer Kontext, Fachtext, Datenmanagment, Metadaten, Datenaustausch, Langzeitarchivierung, Objektbeschreibung, Zustandbeschreibung, Sammlungspflege, immobiles Kulturgut",DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,FALSE,TRUE
"Richtlinien Archäologie zur Grabungs- und Prospektionsdokumentation sowie zur Behandlung von Grabungsfunden und Proben des Landesamts für Denkmalpflege Hessen, Stand 2025",https://denkmal.hessen.de/sites/denkmal.hessen.de/files/2024-09/lfdh_ha_gdrl_archaeologie_gueltig-ab-01.01.2025.pdf,Landesamt für Denkmalpflege Hessen,Fachdokumentation,"Die Richtlinien des Landesamtes für Denkmalpflege Hessen definieren verbindliche fachliche und organisatorische Standards für archäologische Ausgrabungen und Prospektionen in Hessen. Behandelt werden u. a. Anforderungen an Planung und Genehmigung, Feld- und Befunddokumentation, Fundbearbeitung, digitale Datenformate, Abgabe- und Archivierungsprozesse sowie die Qualifikation beteiligter Fachfirmen und Institutionen. Das Dokument dient der Vereinheitlichung der archäologischen Dokumentationspraxis und ist ab 2025 verbindlich anzuwenden.","Standard, archäologischer Kontext, Fachtext, Datenmanagment, Metadaten, Datenaustausch, Langzeitarchivierung, Objektbeschreibung, Zustandbeschreibung, Sammlungspflege, immobiles Kulturgut, Analyse/Untersuchung",DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,FALSE,TRUE
Dublin Core™ Metadata Initiative (DCMI) Metadata Terms,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,Dublin Core™ Metadata Initiative (DCMI),"Datenschema, Ontologie, Vokabular","DCMI Metadata Terms ist ein offener, etablierter Metadaten‑Standard/Vokabular zur Beschreibung digitaler und physischer Ressourcen. Die Begriffe sind in RDF‑Namespaces strukturiert und können in verschiedenen Kontexten (Linked Data, XML, JSON, relational) eingesetzt werden; sie dienen als interoperable Metadatenbasis für die Beschreibung von Ressourcen im Web und in Sammlungs‑ / Archiv‑Umgebungen.","Empfehlung/ Leitfaden, Datenaustausch, Datenintegration, Langzeitarchivierung",diverse,englisch,"XML, RDF",CC By 4.0,TRUE,TRUE,TRUE,TRUE
Dye Analysis – Conservation & Art Materials Encyclopedia Online (CAMEO),https://cameo.mfa.org/wiki/Category:Dye_Analysis,"Museum of Fine Arts, Boston","Repositorium, Fachdokumentation","Datenbank und Online-Nachschlagewerk innerhalb der Conservation & Art Materials Encyclopedia Online (CAMEO) zu Farbstoffanalysen in historischen Materialien. Die Plattform listet Datensätze von chemischen Analysen natürlicher und synthetischer Farbstoffe. Dazu gehören sowohl Referenzdaten zu Farbstoffen selbst als auch Analysen von Proben aus kulturellen Artefakten (z. B. Textilien oder Objekte) inklusive chromatographischer Profile, Spektraldaten und identifizierter Verbindungen.","Farbstoffe/Pigmente, Analyse/Untersuchung, Objektbeschreibung, Sammlungspflege, Textil, Fachtext, Chemie",USA,englisch,MediaWiki,GNU FDL,TRUE,TRUE,TRUE,FALSE
EPSG Geodetic Parameter Dataset,https://epsg.org/home.html,Geomatics Committee der International Association of Oil & Gas Producers (IOGP),"Datenschema, Vokabular","Der EPSG Geodetic Parameter Dataset ist ein international anerkannter, standardisierter Datensatz, der geodätische Referenzsysteme, Koordinatentransformationen, Projektionen und Datumsdefinitionen eindeutig codiert. Jeder Eintrag im Datensatz erhält einen eindeutigen EPSG‑Code, der in GIS‑Software, raumbezogenen Anwendungen und geodätischen Analysen genutzt wird. Der Datensatz dient als Referenzmodell für präzise Lagebestimmung, Datenintegration und den Austausch georäumlicher Informationen.","Datenmodell, Metadaten, Standard, Datenaustausch, Analyse/Untersuchung, immobiles Kulturgut",diverse,englisch,"WKT, GML, XHTML",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Geomatic Solutions.,TRUE,TRUE,FALSE,TRUE
Europeana Data Model (EDM),https://pro.europeana.eu/page/edm-documentation ,Europeana Foundation,"Datenschema, Ontologie","offenes, semantisches Metadatenmodell für die Beschreibung, Vernetzung und den Austausch von Kulturerbedaten über Institutionen hinweg. Es ermöglicht die interoperable Integration heterogener Metadaten aus Museen, Bibliotheken, Archiven und Sammlungen und die Darstellung komplexer Beziehungen zwischen Originalobjekten, digitalen Repräsentationen, beteiligten Akteuren, Orten und Kontexten. Das Schema basiert auf Prinzipien des Semantic Web (RDF/Linked Data) und dient als zentrales Austauschformat für die Veröffentlichung digitaler Sammlungen über nationale und internationale Portale wie Europeana.","Metadaten, Standard, Datenmodell, Datenmanagment, Datenintegration, Datenaustausch, Kulturgut, Objektbeschreibung",diverse,englisch,"XML, SKOS, RDF, CIDOC CRM","verschiedene, teils CC BY-SA 4.0",TRUE,TRUE,TRUE,TRUE
FISH Evidence Thesaurus,https://collectionstrust.org.uk/resource/evidence-thesaurus-fish/,Collections Trust,Vokabular,"Vokabular für die standardisierte Beschreibung vorhandener physischer Überreste eines Denkmals sowie von Merkmalen, anhand derer Denkmäler identifiziert werden können, wenn keine physischen Überreste mehr vorhanden sind. ","archäologischer Kontext, Tool/Software, immobiles Kulturgut, Architektur/Bauwerk",GBR,englisch,"NTRIPLE, TURTLE, JSON, XML, CSV, PDF",OGLv3.0 = CC BY 4.0,TRUE,TRUE,FALSE,TRUE
EwaGlos – European Illustrated Glossary for Conservation Terms of Wall Painting and Architectonic Surfaces,https://hornemann-institut.hawk.de/en/projects/research/ewaglos,"Hornemann-Institut, HAWK Hildesheim",Vokabular,Glossar für Fachbegriffe der Konservierung/Restaurierung von Wandmalerei und Architekturoberfläche in über elf Sprachen.,"Architektur/Bauwerk, Fachtext, Material, Kulturgut, Schaden, Zustandbeschreibung, Methode, Wandmalerei, Stein, Technik/Technologie",diverse,"englisch, bulgarisch, deutsch, französisch, italienisch, kroatisch, polnisch, rumänisch, spanisch, türkisch, ungarisch, russisch, persisch, arabisch, japanisch, chinesisch",PDF,CC BY-NC-ND 3.0 DE,TRUE,FALSE,TRUE,FALSE
Fachinformationen Frauenhofer IRB,irb.fraunhofer.de/de/datenbanken.html,"Fraunhofer-Informationszentrum
Raum und Bau IRB",Repositorium,"Sammlung von Literaturdatenbanken zu baurelevanten Themen wie Bauforschung, Schadensanalysen, Bauplanungen etc.","Bauwerk, Schaden, Zustand, Wand, Stein, Ressourcensammlung, Datenbank, Sammlung",Deutschland,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,teilweise,TRUE,TRUE,TRUE
Fact Sheets on Exhibit & Storage Materials,https://cameo.mfa.org/wiki/Category:MWG,"Museum of Fine Arts, Boston",Vokabular,"Sammlung von Materialien, die für die Ausstellung, Lagerung und den Transport von Kulturgütern verwendet wurden oder verwendet werden könnten. Es handelt sich allerdings nicht um eine Sammlung empfohlener Materialien, sondern lediglich bekannter Verpackungs- und Lagermaterialien. ","Ausstellung, Lagerung, Material, Vokabular, Sammlung, Handhabung",USA,englisch,MediaWiki,GNU FDL,TRUE,TRUE,TRUE,FALSE
"FIAF manual, D.16 Manifestation/Item Condition, Preservation and Restoration",https://www.fiafnet.org/pages/E-Resources/Cataloguing-Manual.html,International Federation of Film Archives,Fachdokumentation,Das FIAF-Handbuch ist eine Hilfestellung bei der Erstellung von Metadaten oder Katalogisierungsdatensätzen für das Sammlungsmanagement von Filmaufnahmen.,"Dokumentation, Video, Fachtext, Metadaten",diverse,"deutsch, englisch, französisch, spanisch, kroatisch",PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Natasha Fairbairn, Maria Assunta Pimpinelli, Thelma Ross",TRUE,FALSE,TRUE,FALSE
Fiber Reference Image Library,https://cameo.mfa.org/wiki/Fiber_Reference_Image_Library,"Museum of Fine Arts, Boston",Repositorium,"Die Fiber Reference Image Library (FRIL) ist eine Datenbank mit Bildern von Textilfasern, die mit verschiedenen Mikroskopietechniken aufgenommen wurden. Sie enthält Vergleichsbilder von Textilfasern, die mit Hellfeld-, Dunkelfeld-, Polarisationslicht- und Differentialinterferenzkontrast-Techniken untersucht wurden.","Material, Textil, Datenbank, Technik",USA,englisch,MediaWiki,GNU FDL,TRUE,TRUE,TRUE,FALSE
Forbes Pigment Database,https://cameo.mfa.org/wiki/Forbes_Pigment_Database,"Museum of Fine Arts, Boston",Repositorium,"Die Forbes Pigment Database enthält über 3000 Farbmittel, die von Edward Waldo Forbes, dem ehemaligen Direktor des Fogg Art Museum der Harvard University (1909-1945), zusammengetragen wurden. Ziel dieser Datenbank ist es, einen zentralen, durchsuchbaren und leicht zugänglichen Ort für die Zusammenstellung aller verfügbaren Informationen aus allen Quellen bereitzustellen.","Material, Pigment, Datenbank",USA,englisch,MediaWiki,GNU FDL,TRUE,TRUE,TRUE,FALSE
Gemeinsame Normdatei (GND),https://www.dnb.de/DE/Professionell/Standardisierung/GND/gnd_node.html,Deutsche Nationale Bibliothek,"Repositorium, Vokabular, Anwendung/Software","Die Gemeinsame Normdatei (GND) ist ein Dienst, um Normdaten kooperativ nutzen und verwalten zu können. Diese Normdaten repräsentieren und beschreiben Entitäten, die in Bezug zu kulturellen und wissenschaftlichen Sammlungen stehen.  Sie erleichtern die Erschließung, bieten eindeutige Sucheinstiege und vernetzen unterschiedliche Informationsressourcen. Die GND ist die größte Normdatensammlung für Kultur- und Forschungsdaten im deutschsprachigen Raum. ","archäologischer Kontext, Architektur/Bauwerk, Datenaustausch, immobiles Kulturgut, Kulturgut, Chemie, Analyse/Untersuchung, Gemälde, Handwerk, Glas, Holz, Herstellung, Keramik, Material, Metall, Standard, Sammlungspflege",DE,deutsch,"MARC 21, MARC21-xml, RDF (RDF/XML, JSON, TURTLE), HDT, N-Triples, HTML",CC0 1.0,TRUE,TRUE,TRUE,TRUE
Geodateninfrastruktur Deutschland (GDI-DE),https://www.gdi-de.org/,Geodateninfrastruktur Deutschland,Fachdokumentation,"Die Geodateninfrastruktur Deutschland (GDI-DE) ist ein gemeinsames Vorhaben von Bund, Ländern und Kommunen, ihre Geodaten auf standardisierte und einfache Weise über das Internet bereitzustellen. Die GDI-DE ist eingebunden in die durch die INSPIRE-Richtlinie geschaffene europäische Geodateninfrastruktur. Sie berät im Bereich von INSPIRE und Datenaustausch.","Ressourcensammlung, Standard, Richtlinie, Datenaustausch",DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Bundesamt für Kartographie und Geodäsie,TRUE,TRUE,FALSE,TRUE
GeoNames,https://www.geonames.org/,GeoNames,"Repositorium, Vokabular","GeoNames ist eine globale, offene geographische Datenbank, die geografische Namen und Informationen über geografische Merkmale enthält. Sie ist eine frei zugängliche Ressource, die Daten aus verschiedenen Quellen aggregiert und über verschiedene Webdienste verfügbar ist. Alle Einträge sind in verschiedene Klassen und Dubklassen eingeordnet.","immobiles Kulturgut, Objektbeschreibung, archäologischer Kontext, Architektur/Bauwerk",diverse,englisch,"HTML, TXT, XML, JSON, RDF, CSV, RSS, KML",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Getty Thesaurus of Geographic Names,https://www.getty.edu/research/tools/vocabularies/tgn/index.html,Getty Research Institute,Vokabular,"Der Thesaurus of Geographic Names (TGN) umfasst Ortsangaben, die mit Kulturobjekten. Kunst, Architektur und ähnlichem in Verbindung stehen. Enthalten sind Relationen, Datierung, Ortstyp und andere Informationen. ","archäologischer Kontext, Architektur/Bauwerk, immobiles Kulturgut, Kulturgut, Datierung",USA,englisch,"JSON, RDF, N3/Turtle, N-Triples, XML, API",ODC-By v1.0,TRUE,FALSE,TRUE,TRUE
GLOBE - Glossar zur Bestandserhaltung,https://www.bestandserhaltungsglossar.de/globe.html,Bibliotheksschule in Frankfurt/Main,Vokabular,"Glossar mit einführenden Erklärungen zu Begriffen aus dem Bereich Pflege, Erhaltung und Langzeitarchivierung schützenswerter Bestände von Bibliotheken. Mit Verweisen auf Fachliteratur.","Papier, Objekt, Technik, Zustand, Vokabular, Glossar, Archivierung",DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,TRUE,FALSE
Glossar Papierrestaurierung in sechs Sprachen,https://www.goethe.de/ins/hon/de/bib/gpa.html,Goethe Institut,Vokabular,"Das „Glossar Papierrestaurierung“ dient internationalen Fachleuten als hilfreiches Werkzeug, um die entsprechenden Restaurierungsbegriffe in ihrer Sprache anwenden zu können. Dieses polyglotte Glossar ist nun als iBook für IOS in sechs Sprachen Deutsch, Englisch, Chinesisch, Koreanisch, Mongolisch und Japanisch erhältlich. Zusätzlich wird es nun als eBook für Android-Geräte und andere digitale Plattformen im EPUB-Format in sechs Sprachen angeboten.","Papier, Zustand, Vokabular, Glossar, Mehrsprachigkeit",DE,"deutsch, englisch, chinesisch, koreanisch, mongolisch, japanisch","iBook, EPUB",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ©Goethe-Institut,TRUE,FALSE,TRUE,FALSE
Glossary of conservation terms,https://sha.org/conservation-facts/glossary/,The Society for Historical Archaeology,Vokabular,Glossar archäologischer Begriffe im Kontext von Konservierungsmaßnahmen und Zustandsbeschreibung von Funden.,"archäologischer Kontext, Analyse/Untersuchung, Zustandbeschreibung, Kulturgut, Material, Methode, Technik/Technologie, Schaden",USA,englisch,HTML,CC BY-NC 3.0 US,TRUE,FALSE,TRUE,FALSE
Glossary of Corrosion Related Terms,https://www.marineelectricity.com/wp-content/uploads/2021/04/Glossary-Of-Corrosion-Related-Terms.pdf,NACE International,Vokabular,Glossar zu Begriffen im Zusammenhang mit Korrosion. Enthält Schlagwörter zu Zustand und Metall.,"Zustandbeschreibung, Material, Metall, Standard",diverse,englisch,PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2002, NACE International.",TRUE,FALSE,TRUE,FALSE
Glossary of Digital Photography Terms,https://www.shortcourses.com/guide/guide5-1.html,Dennis P. Curtin,Vokabular,Glossar zu Begriffen aus dem Bereich der Fotografie.,"Fotografie, Zustandbeschreibung",USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2011 Dennis P. Curtis,TRUE,FALSE,TRUE,FALSE
Grabungswörterbuch,https://ausgraeberei.de/grabungswoerterbuch/,Doris Fischer,Vokabular,Deutsch-Englisch-Wörterbuch zu Fachbegriffen für Grabungstechnik und .,,DE,"deutsch, englisch",PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Norbert Fischer, Doris Fischer",TRUE,FALSE,TRUE,TRUE
Graphic Atlas,http://www.graphicsatlas.org/identification/,Rochester Institute of Technology,Fachdokumentation,"Graphics Atlas ist eine webbasierte Ressource, die Objekte, Maßnahmen, Techniken und den Zustand von Kulturerbe-Sammlungen beschreibt. Sie behandelt auch Neue Medien und hilft bei der Identifikation von Fotografien und Drucken.",,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ©2025 Image Permanence Institute,TRUE,TRUE,TRUE,FALSE
Graphikportal,https://www.graphikportal.org/,Deutsches Dokumentationszentrum für Kunstgeschichte – Bildarchiv Foto Marburg,Repositorium,"Sammlung der Bestände renommierter graphischer Sammlungen aus Deutschland, Österreich und der Schweiz für eine sammlungsübergreifende Recherche.",,DE,deutsch,HTML,"Variiert, viele nach PDM 1.0 oder CC BY-SA 4.0",TRUE,TRUE,TRUE,FALSE
Handreichungen und Leitfäden - Landesamt für Denkmalpflege und  Sachsen-Anhalt,https://www.lda-lsa.de/denkmalpflege/handreichungen-und-leitfaeden,Landesamt für Denkmalpflege und  Sachsen-Anhalt,Fachdokumentation,"Sammlung von Fachtexten der Abteilung Denkmalpflege am Landesamt für Denkmalpflege und  in Sachsen-Anhalt, darunter eine Handreichung zur Bestandsuntersuchung und Dokumentation von Baudenkmalen und Leitfäden zu restauratorsichen Untersuchungen und Maßnahmen, sowie eine separate Handreichung zu restauratorischen Maßnahmen an Baudenkmalen der Gründerzeit.",,DE,deutsch,PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Landesamt für Denkmalpflege und Sachsen-Anhalt –
Landesmuseum für Vorgeschichte Halle (Saale) ",TRUE,FALSE,TRUE,TRUE
Hausbücher der Zwölfbrüderstiftung von Nürnberg,www.nuernberger-hausbuecher.de,Germanisches Nationalmuseum ,Fachdokumentation,Sammlung der sogenannten Hausbücher der Mendelschen und Landauerschen Zwölfbrüderhausstiftungen mit Darstellungen zahlreicher Herstellungsverfahren und Handwerkserzeugnisse vom 15. bis zum 19. Jahrhundert.,,DE,deutsch,HTML,PDM 1.0,TRUE,FALSE,TRUE,FALSE
